"gene","logFC","logCPM","F","PValue","FDR"
"SPATS2L",-3.09503948972256,6.57647087026185,209.342278369533,7.9766003429783e-11,1.35203959883303e-08
"WLS",3.17643227741764,6.67163660705529,210.385594184719,8.04466125099255e-11,1.35203959883303e-08
"PLIN3",-3.70412787816311,7.21017761133991,208.86595980333,8.27726557540785e-11,1.35203959883303e-08
"NPNT",-5.75951076699178,6.73831741198601,139.051208436033,1.1728171176535e-10,1.85767123453784e-08
"SLC7A2",-1.94027713930415,9.57002012531917,205.049354994592,1.28183903151124e-10,1.93181954842254e-08
"PCSK1",4.04019600518287,9.20167483411455,211.283058459804,1.29354666529154e-10,1.93181954842254e-08
"CYP2U1",3.37279517747323,5.75919863972435,136.404270072748,1.9227696133967e-10,2.70463261582248e-08
"TMEM37",2.95821637352562,6.87911547022923,152.858334831249,1.94390873643088e-10,2.70463261582248e-08
"SLC38A4",-2.69069405316278,7.26082510661523,174.173221042933,1.96625290608866e-10,2.70463261582248e-08
"ARRDC4",-3.60204166510757,6.90797586271996,188.094171100529,2.08622726902966e-10,2.79607947056873e-08
"ATP2A3",1.96320849009607,7.46546766031948,163.494464385179,2.49185438113135e-10,3.2562307125434e-08
"KLHL41",-4.23358533591593,7.30091853684324,133.483997208263,3.19845065735449e-10,4.07763453316876e-08
"ENTPD3",6.99455475001958,6.67127154790604,181.637916886066,3.72279225827274e-10,4.63310360333133e-08
"F10",-5.55654815305692,7.00125061824024,106.016506945037,4.08177110364959e-10,4.96172501366893e-08
"ALDH1A1",-2.66423889837813,11.1544060197799,169.348869443423,5.36995492342985e-10,6.3792623601745e-08
"SUSD4",2.33180709536391,6.57246206885878,153.986066016016,5.53320448387027e-10,6.42712440826442e-08
"PALLD",-2.48534206753568,8.30161763345854,166.112673493798,6.35040173232886e-10,7.21598909888759e-08
"MEG3",3.30703499855156,8.3384940002984,155.561510087258,7.19064117148419e-10,7.99691093688252e-08
"MYO10",-7.73415365419686,6.04254721383259,179.117211309608,7.75083468961607e-10,8.4403360255465e-08
"TIMP2",4.20728002564027,8.42655659804948,159.353278008712,7.99995488516348e-10,8.53382942545909e-08
"UCHL1",2.24996783775394,9.47877554887568,156.468405903578,9.65247170609458e-10,1.00906939215513e-07
"GLIS3",4.01405711104533,6.07038006832951,109.854679624193,1.08197619934617e-09,1.10891952823185e-07
"SH3RF1",-3.90481175883274,6.07219791345857,108.767382098535,1.28235977622236e-09,1.28901818275275e-07
"CLU",-2.57176072966052,11.7824222206735,152.152591992085,1.35798480192188e-09,1.33928048295201e-07
"C1QL1",2.30342062732676,8.24402691633055,131.810241891931,1.47806656177804e-09,1.43071368859515e-07
"ITGB1",-1.46304133874364,9.19314241994401,143.704509610166,1.80325071188857e-09,1.71374390382573e-07
"DNAJB9",1.73329369679829,7.78222220826084,138.478800816318,2.40428225164226e-09,2.21672341670748e-07
"STXBP6",-3.33496232033689,5.26225922993647,107.6960470915,2.417318437963e-09,2.21672341670748e-07
"ITPR3",2.8350051873614,6.97930627178016,125.126326992821,2.50392827859009e-09,2.25655743313628e-07
"B2M",-1.33904224173441,12.2986368411127,135.766519439714,2.72734223570046e-09,2.41624031627226e-07
"PTPRT",-7.30297479071358,5.60791123404024,148.407198803801,2.96974734125673e-09,2.58714489212482e-07
"MAPT",2.84862783239602,6.09925238937926,117.512978922499,3.21547983609161e-09,2.71517973566424e-07
"SIPA1L2",2.6765103158435,5.79849147618337,109.986188856735,3.22060730076875e-09,2.71517973566424e-07
"ABCC8",1.94818987420805,9.97423540698069,132.365769877869,3.31413893527921e-09,2.74968320868324e-07
"PKIB",2.92370811596233,6.46974264085386,116.804561912995,3.4733080506838e-09,2.83671580951941e-07
"CRYBA2",-3.50807725793799,9.48433529208385,116.306136141165,4.63861662970407e-09,3.73016140360972e-07
"DPP4",-8.3505109064893,6.09197508938274,202.398172073198,4.8759099464773e-09,3.86157292276316e-07
"SMOC1",-4.55946916911796,7.66540279080676,115.277868369533,5.72605224397848e-09,4.46717538496649e-07
"CDKN1A",2.18897223891021,8.29047998652122,122.265771483396,5.96275338995485e-09,4.58342823077853e-07
"SH3KBP1",-2.90290672640278,5.82823149945077,108.136863448476,6.76710374901971e-09,5.12632627480087e-07
"MPP1",2.47174103761952,5.67410151382682,94.6158510020252,9.54914676411957e-09,7.13048430515043e-07
"GPX3",-1.9620390034259,10.536195182293,113.005794206863,1.02609690448082e-08,7.55409650664963e-07
"VAT1L",9.28185572809969,5.7083616401306,213.791306362815,1.31297239860281e-08,9.53181489930127e-07
"CASR",6.35021040334986,6.78242248026074,106.574042587856,1.47393290163599e-08,1.0553763392947e-06
"PDK3",-1.80470966479994,6.66537355044725,92.8020112060894,1.55777370377768e-08,1.10033556076296e-06
"COTL1",-2.29673705640056,7.47570030392202,106.392673685061,1.62783708015501e-08,1.13449392239603e-06
"PDE3B",-1.95070953326642,6.81941133654679,98.5228095450698,1.70902175809066e-08,1.17540220125525e-06
"FXYD6",-2.3972186505045,8.05956231098475,103.708914394415,1.86302085646578e-08,1.26467662555151e-06
"S100A10",-3.93468509189394,6.41922795628792,90.9235899377197,1.91286594987153e-08,1.28186542563827e-06
"ELMO1",3.06587037391642,7.29105066940875,100.896328667018,2.10996735225164e-08,1.39605055066067e-06
"PDK4",-3.04597040114199,9.58748712394917,100.350673343533,2.66461594422658e-08,1.74099344255904e-06
"GPX2",3.2273265640209,6.24703774438176,86.9718898453251,2.7829828116541e-08,1.79588285882914e-06
"SLC6A6",2.91753886390386,6.92727412148164,97.123830825181,2.92876401068612e-08,1.86690847364102e-06
"CYP27A1",2.09576144570669,4.82856004145973,79.4744661851289,3.59321720221303e-08,2.2628610019238e-06
"CYSTM1",-1.23825916348364,9.66197331096755,93.0283993787552,4.0455560318724e-08,2.51739540221393e-06
"CALY",-2.5455248322524,7.07443714335061,91.9802960471604,4.24888789491918e-08,2.61281612079324e-06
"SPINT2",-1.08364281314795,10.632425816972,91.7149360542016,4.46507239236973e-08,2.71382946452518e-06
"ID3",3.65712716536449,7.13434764219026,86.808236761456,4.55438801000924e-08,2.73629725612854e-06
"PRSS3",-3.3370593393212,5.40288801837495,76.6323787948032,4.75197376858993e-08,2.82256441913859e-06
"MYRF",-3.21461962151605,5.42067691062903,78.3696147047263,5.43919850742723e-08,3.15934480739406e-06
"GAD2",1.82213397708744,9.49738738735281,89.162310232036,5.4398513997602e-08,3.15934480739406e-06
