"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.57949862069644e-86,2.96105576939113,0.837,0.166,4.12668189339016e-82,"1","Smtnl2"
1.1599225689119e-85,6.74070130397671,0.452,0.003,1.85564412574526e-81,"5","Cdkn2c"
5.14848376504563e-85,6.05527071911428,0.512,0.016,8.23654432732e-81,"3","Irx1"
5.50902461333034e-85,2.31714489614613,0.981,0.327,8.81333757640589e-81,"1","Sparc"
6.9138416144689e-84,2.63439181916642,0.994,0.268,1.10607638148273e-79,"2","Mafb"
9.95420879825654e-84,3.61454063454841,0.935,0.129,1.59247432354508e-79,"5","Smc2"
2.49111957793324e-82,4.37177719061617,0.667,0.041,3.9852931007776e-78,"5","Racgap1"
3.34876063890704e-82,2.06777614969988,0.995,0.435,5.35734727012348e-78,"1","Mgst1"
7.76286041347402e-82,3.50090812465615,0.742,0.102,1.24190240894757e-77,"2","Papss2"
3.58168899435823e-80,2.01943525975177,1,0.879,5.7299860531743e-76,"0","Krt7"
1.65818379355391e-79,4.26970479376408,0.645,0.038,2.65276243292754e-75,"5","Fbxo5"
2.19504588433355e-79,4.32100547277507,0.849,0.115,3.51163440575681e-75,"5","Birc5"
3.6873903736888e-79,4.05920907414595,0.849,0.103,5.89908711982734e-75,"5","Rrm2"
4.16961828003154e-79,4.90884025395409,0.505,0.014,6.67055532439446e-75,"5","Hmmr"
6.77186685198684e-79,2.40107669927065,0.986,0.555,1.08336325898085e-74,"1","Mt1"
2.46390270027934e-78,2.25443738718566,1,0.577,3.94175153990688e-74,"1","Clu"
4.11614605048985e-78,2.02465096996999,0.978,0.491,6.58501045157366e-74,"0","Map1b"
1.33283061271857e-77,2.03992654711174,0.995,0.575,2.13226241422717e-73,"1","Dbi"
1.72046795433019e-77,3.2130666630228,0.747,0.103,2.75240463333744e-73,"3","Arx"
5.58699616584277e-77,1.63949009199753,1,0.863,8.93807646611526e-73,"1","Krt18"
7.76755126372718e-77,3.82903258013515,0.688,0.049,1.24265285117107e-72,"5","Cenpk"
1.07161482686465e-76,4.76933924752629,0.634,0.041,1.71436940001807e-72,"5","Cenpf"
2.86720462394148e-76,3.32175024652767,0.989,0.201,4.58695395738158e-72,"5","Tyms"
1.32271927223632e-75,2.94281599880874,0.933,0.421,2.11608629172366e-71,"0","Cck"
1.73153272031001e-75,4.439479914299,0.581,0.029,2.77010604595195e-71,"5","Kif23"
1.88745398525993e-75,2.2701344521165,0.988,0.249,3.01954888561884e-71,"2","Pcsk2"
2.16285220451099e-75,5.44897005569235,0.452,0.009,3.46013095677667e-71,"5","Kif11"
3.58655556274605e-75,3.48358250042098,0.957,0.179,5.73777158928112e-71,"5","Spc24"
3.74545371242834e-75,4.66028154522178,0.591,0.033,5.99197684914286e-71,"5","Aurka"
1.37542485454184e-74,3.34942123775556,0.796,0.08,2.20040468229604e-70,"5","Mad2l1"
2.53784329974794e-74,5.63045623794627,0.84,0.246,4.06004171093676e-70,"2","Nnat"
5.71714238122658e-74,2.14364768237392,0.94,0.346,9.14628438148629e-70,"1","Vim"
7.36155755242392e-74,3.35255339593342,0.935,0.168,1.17770197723678e-69,"5","Lig1"
6.03765069660913e-73,1.35601761348502,0.884,0.212,9.65903358443529e-69,"1","Hhex"
9.86354974353287e-73,4.82190643403815,0.473,0.014,1.57797068797039e-68,"5","Ncapg"
3.0906278416041e-72,3.05588839695088,0.957,0.152,4.94438642099824e-68,"5","Gins2"
5.66728764938412e-72,5.04342039618443,0.473,0.015,9.06652678148471e-68,"5","Rad51ap1"
8.86075675103931e-72,4.90294924681658,0.495,0.018,1.41754386503127e-67,"5","Fam64a"
2.22249271693004e-71,3.67957592038908,0.951,0.379,3.55554384854469e-67,"2","Iapp"
5.58659312732091e-71,3.39631911423907,0.935,0.178,8.93743168508799e-67,"5","Gmnn"
5.88643129568081e-71,4.43035304807474,0.656,0.054,9.41711278683016e-67,"5","Ccnb1"
6.53891506707576e-71,4.07552949684232,0.521,0.034,1.04609563243078e-66,"2","Adra2a"
1.39863037349306e-70,2.36011795347013,0.93,0.339,2.2375288715142e-66,"1","Sox9"
1.51406557815454e-70,4.13173690016268,0.516,0.021,2.42220211193164e-66,"5","Kif20a"
1.53308787311931e-70,2.47391058961771,0.916,0.348,2.45263397941628e-66,"1","Mt2"
1.94952070784574e-70,3.231806765882,0.796,0.086,3.11884322841161e-66,"5","Mis18a"
4.87242950053283e-70,6.94297925019873,0.366,0.002,7.79491271495242e-66,"5","Casc5"
1.17564768035247e-69,3.00625399217597,0.772,0.183,1.88080115902789e-65,"1","Hes1"
1.33739775876018e-69,1.69063307094366,0.991,0.658,2.13956893446453e-65,"1","Atp1b1"
1.46968148789578e-69,3.64481948276629,0.785,0.095,2.35119644433568e-65,"5","Cdca3"
2.21026556295054e-69,4.1217186057191,0.495,0.019,3.53598284760827e-65,"5","Mis18bp1"
2.33779062754573e-69,4.36413593914936,0.473,0.016,3.73999744594766e-65,"5","Ccnf"
4.1544519027732e-69,2.1084853546934,0.949,0.368,6.64629215405657e-65,"1","Acot1"
4.72893085620383e-69,2.1236805378328,0.935,0.36,7.5653435837549e-65,"1","Lurap1l"
1.66870170107531e-68,1.67378651885007,1,0.971,2.66958898138028e-64,"2","Sec61b"
2.1637912445905e-68,5.86687249933484,0.398,0.007,3.46163323309588e-64,"5","Mxd3"
2.47446995254959e-68,2.78860961112728,0.859,0.25,3.95865703008883e-64,"2","Ociad2"
4.40646685318752e-68,4.68619132803648,0.462,0.016,7.04946567172939e-64,"5","Shcbp1"
5.22047482258585e-68,5.22546196715762,0.451,0.021,8.35171562117284e-64,"3","Ctxn2"
9.05375447236611e-68,3.41978628528245,0.892,0.166,1.44841964048913e-63,"5","Smc4"
1.33511004669432e-67,2.73216083965121,0.817,0.325,2.13590905270157e-63,"0","BC023829"
1.63647892131013e-67,2.10342772621902,0.926,0.346,2.61803897831195e-63,"1","Nudt19"
2.97376441988764e-67,2.78589916219629,0.67,0.103,4.75742831893624e-63,"1","Ppp1r1b"
8.25447068395093e-67,3.20456410543008,0.699,0.061,1.32055022001847e-62,"5","Ube2t"
2.02030276844989e-66,3.04178079130933,0.903,0.14,3.23208036896614e-62,"5","Mcm5"
3.21948112921848e-66,3.61017033150282,0.595,0.071,5.15052591052372e-62,"2","Gm27033"
3.77569616245877e-66,3.83269231906294,0.688,0.065,6.04035872070154e-62,"5","Uhrf1"
